"region","species_name","cuid","cu_name_pse","pointid","streamid","stream_name_pse","indicator","latitude","longitude","hatchery_release_score","year","stream_observed_count","stream_survey_method","stream_survey_quality"
"Skeena","Steelhead",280,"Upper Skeena Headwaters",7159,9708,"SUSTUT RIVER","Y",56.32746983,-127.2023541,"-989898",1971,3000,"Other Estimate Method","Low"
"Skeena","Steelhead",280,"Upper Skeena Headwaters",7159,9708,"SUSTUT RIVER","Y",56.32746983,-127.2023541,"-989898",1986,3072,"Mark & Recapture: Petersen","Medium-High"
"Skeena","Steelhead",280,"Upper Skeena Headwaters",7159,9708,"SUSTUT RIVER","Y",56.32746983,-127.2023541,"-989898",1989,700,"Other Estimate Method","Low"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",1994,584,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",1995,467,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",1996,466,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",1997,649,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",1998,1064,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",1999,731,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2000,377,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2001,756,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2002,812,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2003,1115,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2004,1042,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2005,268,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2006,133,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2007,263,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2008,193,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2009,1162,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2010,1050,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2011,1186,"Fence Count","High"
"Skeena","Steelhead",281,"Upper Sustut",7160,9712,"UPPER SUSTUT RIVER","Y",56.643523,-126.49908,"-989898",2012,1073,"Fence Count","High"
